userName,score,content,at,thumbsUpCount
Sita Khadka,5,good service,2026-03-02 12:46:58,0
Waqas Saqi,5,very good Work MASHALLAH 👍 Nice Service,2026-03-02 11:02:06,0
Shaz,5,best,2026-03-02 10:27:18,0
Remoon Kamal,5,very good application,2026-03-02 10:25:19,0
yashpal chauhan,5,good app,2026-03-02 07:52:07,0
Jonathan Castro,5,excellent,2026-03-02 06:45:45,0
Yambahadur Magar,5,good,2026-03-02 05:32:42,0
LEAH JOIE SANTUA,5,"It's my very first time using the application, I find it fast and convenient to select and choose my desired item. Now I'm just waiting for my order... hopefully it is as reliable as the application regards their services as promised. I'll surely give feedback after receiving the items purchased. God speed!",2026-03-02 05:12:50,2
Ruman khan,4,good app for online shoping,2026-03-02 03:45:06,0
Shehryar Khan,5,Good,2026-03-02 03:35:07,0
hossam ghit,5,❤️,2026-03-02 03:33:26,0
MD Mokramin,4,good,2026-03-02 01:00:09,0
Nizar Nizu,5,good,2026-03-02 00:39:36,0
Md Tabrez Alam,5,great,2026-03-02 00:15:13,0
Ahmad Butt,5,good,2026-03-01 23:57:46,0
NABEEL 931,5,Good 👍,2026-03-01 23:29:15,0
Samiul Islam,5,Amazing,2026-03-01 22:38:45,0
ASIYA Begum,5,good,2026-03-01 22:38:37,0
Farman Ullah,5,very good and helpful,2026-03-01 22:29:44,0
Md. Asaduzzaman শাওন,5,service good,2026-03-01 22:11:03,0
Ch Ch,5,good,2026-03-01 21:36:27,0
Amjad pathan,5,good,2026-03-01 21:31:13,0
Seraph Gaming,5,good,2026-03-01 21:17:43,0
abdalla altijani,5,None is impossible with Noon😎,2026-03-01 21:14:37,0
Sairul Seikh,4,very good,2026-03-01 21:13:10,0
sharif mahmud shuvo,5,incredible😍,2026-03-01 20:50:33,0
jaseer AB positive,5,🔥🔥🔥,2026-03-01 20:46:57,0
Rana Sikander Rana,5,goodd,2026-03-01 20:32:40,0
Sameer Mehrban,5,nice👏😊👍,2026-03-01 20:07:04,0
Hussain Peera,5,very very good,2026-03-01 20:04:49,0
shiyas ps,4,👍,2026-03-01 20:01:06,0
Dhruvraj Singh,4,good,2026-03-01 19:59:18,0
Alaa Mostafa,5,fantastic,2026-03-01 19:52:55,0
Farah Arshad,4,nice,2026-03-01 19:50:19,0
Zeeshan Ali,1,fake suhoor deals making people fool some products which look discounted offers that sold out after the count down time finished. it doesn't even take 0.5 seconds to sold disgusting,2026-03-01 19:33:19,0
abdul wahab Bin asif,5,good noon I love it,2026-03-01 19:19:38,0
Hashim Najar890,5,very good app,2026-03-01 19:17:35,0
John Maricu,5,My dreams items come true,2026-03-01 19:14:44,0
Rana Ikram,5,good,2026-03-01 19:06:07,0
Chimsey Chimsey,5,fst deliver,2026-03-01 18:55:55,0
saravana kumar,5,good,2026-03-01 18:30:38,0
Kasim Kasi,5,i like very good platform,2026-03-01 18:23:35,0
Jam Faisal,5,Good,2026-03-01 18:14:31,0
Zeshu Zeeshan,5,good,2026-03-01 18:09:16,0
Amir Osama,5,شركه جميله,2026-03-01 17:53:34,0
krishna khand,5,Good service thanks,2026-03-01 17:53:04,0
Malik Mondal,5,good 👍🏻,2026-03-01 17:37:08,0
Lukman Bello,5,excellent app,2026-03-01 17:30:48,0
Think,5,very good app with many items for sale,2026-03-01 17:05:12,0
mondi ann,4,not bad,2026-03-01 16:48:20,0
KVijay official,5,very good,2026-03-01 15:54:57,0
Ahmed Hafeez,5,Good,2026-03-01 15:49:39,0
Mildred Akoth,5,I love the service because it's quick and affordable,2026-03-01 15:44:43,0
Saleh Abdelhadi,1,apps crashes every day at 3 pm can't order anything,2026-03-01 15:03:53,3
Wael Abd El-Halim,1,"Dear Customer Service Team, I have already contacted UAE customer service regarding my complaint, and I was informed that management decided to close the case because the watch was purchased three years ago, and complaints should be raised within 15 days. With all due respect, I am very disappointed with this response. I trusted your brand and purchased the watch directly from you expecting quality and proper support. If I am required to deal directly with a service center without any support",2026-03-01 15:01:22,0
qualityair conditions,5,SO GOOD,2026-03-01 14:53:34,0
Md Nahid Hasan,4,good,2026-03-01 14:49:38,0
Lovelyhan Timpulok,4,Good,2026-03-01 14:44:53,0
younus chandpur,5,good,2026-03-01 14:32:21,0
kudbuddeen Salmani,5,very good,2026-03-01 14:28:16,0
Zaynab Mohamed,5,البرنامج فوق التقيمممم,2026-03-01 14:01:31,0
Babar Khan,2,ok,2026-03-01 13:46:26,0
Suraj Gurung,5,great,2026-03-01 13:42:58,0
mariam said,4,تحفهه,2026-03-01 13:30:48,0
Ali Siddiqui,5,good 👍,2026-03-01 12:14:27,0
Jahid Khan,5,good,2026-03-01 12:13:23,0
Rizwan Rizwan,5,Good,2026-03-01 11:12:17,0
Khalid Shabbeer,5,noon best app,2026-03-01 10:51:18,0
VISHNUSUGIRTHAN RL 334,5,good,2026-03-01 10:22:15,0
RANA ADNAN,5,noon best material is good 👍 thanks noon,2026-03-01 09:18:29,0
Md Rahim khan,5,I love Noon,2026-03-01 09:17:43,0
Anwer Khan S,4,Good service,2026-03-01 08:25:08,0
Salmankhan khan,5,very good,2026-03-01 08:11:47,0
Dillan Chanda,5,cool,2026-03-01 07:40:56,0
Altamash Khan,5,good going,2026-03-01 07:29:34,0
